"year","prod_area_id","prod_area_name","disease","disease_occasions"
2012,5,"Stad - Hustadvika","ILA",1
2012,6,"Nordmøre - Sør-Trøndelag","ILA",1
2012,8,"Helgeland - Bodø","ILA",2
2012,11,"Kvaløya - Loppa","ILA",1
2012,12,"Vest-Finnmark","ILA",2
2012,6,"Nordmøre - Sør-Trøndelag","PD",2
2012,12,"Vest-Finnmark","PD",1
2013,4,"Sotra - Stadt","ILA",1
2013,8,"Helgeland - Bodø","ILA",3
2013,9,"Vestfjorden - Vesterålen","ILA",5
2013,11,"Kvaløya - Loppa","ILA",1
2013,2,"Ryfylke","PD",7
2013,3,"Karmøy - Sotra","PD",21
2013,4,"Sotra - Stadt","PD",11
2013,5,"Stad - Hustadvika","PD",8
2013,6,"Nordmøre - Sør-Trøndelag","PD",33
2013,12,"Vest-Finnmark","PD",3
2014,4,"Sotra - Stadt","ILA",1
2014,6,"Nordmøre - Sør-Trøndelag","ILA",1
2014,8,"Helgeland - Bodø","ILA",2
2014,9,"Vestfjorden - Vesterålen","ILA",11
2014,10,"Andfjorden - Senja","ILA",1
2014,11,"Kvaløya - Loppa","ILA",2
2014,2,"Ryfylke","PD",23
2014,3,"Karmøy - Sotra","PD",55
2014,4,"Sotra - Stadt","PD",21
2014,5,"Stad - Hustadvika","PD",17
2014,6,"Nordmøre - Sør-Trøndelag","PD",61
2014,7,"Nord-Trøndelag - Bindal","PD",4
2014,12,"Vest-Finnmark","PD",3
2015,3,"Karmøy - Sotra","ILA",1
2015,6,"Nordmøre - Sør-Trøndelag","ILA",3
2015,8,"Helgeland - Bodø","ILA",1
2015,9,"Vestfjorden - Vesterålen","ILA",15
2015,10,"Andfjorden - Senja","ILA",3
2015,12,"Vest-Finnmark","ILA",1
2015,2,"Ryfylke","PD",33
2015,3,"Karmøy - Sotra","PD",67
2015,4,"Sotra - Stadt","PD",36
2015,5,"Stad - Hustadvika","PD",20
2015,6,"Nordmøre - Sør-Trøndelag","PD",60
2015,7,"Nord-Trøndelag - Bindal","PD",3
2015,12,"Vest-Finnmark","PD",3
2016,3,"Karmøy - Sotra","ILA",1
2016,6,"Nordmøre - Sør-Trøndelag","ILA",6
2016,8,"Helgeland - Bodø","ILA",9
2016,9,"Vestfjorden - Vesterålen","ILA",10
2016,10,"Andfjorden - Senja","ILA",2
2016,12,"Vest-Finnmark","ILA",2
2016,2,"Ryfylke","PD",26
2016,3,"Karmøy - Sotra","PD",76
2016,4,"Sotra - Stadt","PD",42
2016,5,"Stad - Hustadvika","PD",23
2016,6,"Nordmøre - Sør-Trøndelag","PD",34
2016,7,"Nord-Trøndelag - Bindal","PD",4
2016,8,"Helgeland - Bodø","PD",1
2017,2,"Ryfylke","ILA",1
2017,3,"Karmøy - Sotra","ILA",1
2017,5,"Stad - Hustadvika","ILA",1
2017,6,"Nordmøre - Sør-Trøndelag","ILA",3
2017,7,"Nord-Trøndelag - Bindal","ILA",1
2017,8,"Helgeland - Bodø","ILA",5
2017,9,"Vestfjorden - Vesterålen","ILA",2
2017,10,"Andfjorden - Senja","ILA",1
2017,12,"Vest-Finnmark","ILA",5
2017,2,"Ryfylke","PD",27
2017,3,"Karmøy - Sotra","PD",72
2017,4,"Sotra - Stadt","PD",51
2017,5,"Stad - Hustadvika","PD",22
2017,6,"Nordmøre - Sør-Trøndelag","PD",43
2017,7,"Nord-Trøndelag - Bindal","PD",13
2017,8,"Helgeland - Bodø","PD",1
2018,3,"Karmøy - Sotra","ILA",1
2018,4,"Sotra - Stadt","ILA",1
2018,5,"Stad - Hustadvika","ILA",1
2018,7,"Nord-Trøndelag - Bindal","ILA",1
2018,8,"Helgeland - Bodø","ILA",3
2018,9,"Vestfjorden - Vesterålen","ILA",1
2018,10,"Andfjorden - Senja","ILA",1
2018,11,"Kvaløya - Loppa","ILA",1
2018,12,"Vest-Finnmark","ILA",3
2018,2,"Ryfylke","PD",29
2018,3,"Karmøy - Sotra","PD",68
2018,4,"Sotra - Stadt","PD",67
2018,5,"Stad - Hustadvika","PD",17
2018,6,"Nordmøre - Sør-Trøndelag","PD",58
2018,7,"Nord-Trøndelag - Bindal","PD",12
2019,2,"Ryfylke","ILA",2
2019,3,"Karmøy - Sotra","ILA",2
2019,4,"Sotra - Stadt","ILA",1
2019,5,"Stad - Hustadvika","ILA",2
2019,7,"Nord-Trøndelag - Bindal","ILA",1
2019,9,"Vestfjorden - Vesterålen","ILA",1
2019,10,"Andfjorden - Senja","ILA",3
2019,11,"Kvaløya - Loppa","ILA",1
2019,12,"Vest-Finnmark","ILA",1
2019,2,"Ryfylke","PD",12
2019,3,"Karmøy - Sotra","PD",69
2019,4,"Sotra - Stadt","PD",58
2019,5,"Stad - Hustadvika","PD",21
2019,6,"Nordmøre - Sør-Trøndelag","PD",67
2019,7,"Nord-Trøndelag - Bindal","PD",3
2020,2,"Ryfylke","ILA",6
2020,3,"Karmøy - Sotra","ILA",1
2020,5,"Stad - Hustadvika","ILA",1
2020,8,"Helgeland - Bodø","ILA",1
2020,10,"Andfjorden - Senja","ILA",6
2020,11,"Kvaløya - Loppa","ILA",1
2020,12,"Vest-Finnmark","ILA",11
2020,2,"Ryfylke","PD",15
2020,3,"Karmøy - Sotra","PD",51
2020,4,"Sotra - Stadt","PD",67
2020,5,"Stad - Hustadvika","PD",17
2020,6,"Nordmøre - Sør-Trøndelag","PD",65
2020,7,"Nord-Trøndelag - Bindal","PD",5
2021,2,"Ryfylke","ILA",2
2021,3,"Karmøy - Sotra","ILA",2
2021,4,"Sotra - Stadt","ILA",1
2021,5,"Stad - Hustadvika","ILA",1
2021,7,"Nord-Trøndelag - Bindal","ILA",3
2021,8,"Helgeland - Bodø","ILA",5
2021,9,"Vestfjorden - Vesterålen","ILA",2
2021,10,"Andfjorden - Senja","ILA",5
2021,11,"Kvaløya - Loppa","ILA",3
2021,12,"Vest-Finnmark","ILA",9
2021,2,"Ryfylke","PD",16
2021,3,"Karmøy - Sotra","PD",39
2021,4,"Sotra - Stadt","PD",64
2021,5,"Stad - Hustadvika","PD",9
2021,6,"Nordmøre - Sør-Trøndelag","PD",42
