year,id,pop_tot
2001,1,2103666
2001,2,284624
2001,3,372438
2001,4,205869
2001,5,178593
2001,6,393558
2001,7,38224
2001,8,124465
2001,9,104699
2001,10,66078
2001,11,81905
2001,12,41620
2001,13,26387
2002,1,2125220
2002,2,288555
2002,3,378575
2002,4,208530
2002,5,181295
2002,6,397800
2002,7,41182
2002,8,125514
2002,9,105828
2002,10,66276
2002,11,83001
2002,12,41489
2002,13,26294
2003,1,2146411
2003,2,291372
2003,3,381823
2003,4,209234
2003,5,181786
2003,6,400346
2003,7,40929
2003,8,125568
2003,9,105453
2003,10,66170
2003,11,83794
2003,12,41455
2003,13,26099
2004,1,2162816
2004,2,294405
2004,3,384753
2004,4,210105
2004,5,182460
2004,6,403311
2004,7,40824
2004,8,125901
2004,9,105522
2004,10,66070
2004,11,84373
2004,12,41512
2004,13,25770
2005,1,2183200
2005,2,297927
2005,3,387577
2005,4,210679
2005,5,183118
2005,6,406011
2005,7,40596
2005,8,126021
2005,9,105540
2005,10,65703
2005,11,84990
2005,12,41597
2005,13,25563
2006,1,2206404
2006,2,301560
2006,3,392521
2006,4,210509
2006,5,183704
2006,6,409633
2006,7,40458
2006,8,125913
2006,9,105556
2006,10,65553
2006,11,86083
2006,12,41621
2006,13,25405
2007,1,2234653
2007,2,307048
2007,3,396955
2007,4,210713
2007,5,184351
2007,6,413650
2007,7,40234
2007,8,125659
2007,9,105185
2007,10,65404
2007,11,86889
2007,12,41543
2007,13,25272
2008,1,2269461
2008,2,313151
2008,3,402678
2008,4,211632
2008,5,185670
2008,6,419392
2008,7,40038
2008,8,125388
2008,9,105578
2008,10,65196
2008,11,87698
2008,12,41504
2008,13,25052
2009,1,2309961
2009,2,319130
2009,3,409811
2009,4,213586
2009,5,187541
2009,6,424170
2009,7,40210
2009,8,125718
2009,9,105812
2009,10,65222
2009,11,88768
2009,12,41666
2009,13,25086
2010,1,2341431
2010,2,324470
2010,3,416541
2010,4,215325
2010,5,190107
2010,6,429323
2010,7,40354
2010,8,126291
2010,9,106274
2010,10,65299
2010,11,89448
2010,12,41962
2010,13,25114
2011,1,2375334
2011,2,330631
2011,3,422886
2011,4,217528
2011,5,192520
2011,6,433669
2011,7,40560
2011,8,127230
2011,9,107054
2011,10,65627
2011,11,90475
2011,12,42540
2011,13,25160
2012,1,2413852
2012,2,335972
2012,3,428735
2012,4,218930
2012,5,194767
2012,6,438495
2012,7,40816
2012,8,127716
2012,9,107471
2012,10,65744
2012,11,91156
2012,12,42771
2012,13,25199
2013,1,2445764
2013,2,342552
2013,3,435045
2013,4,220580
2013,5,196886
2013,6,443930
2013,7,40958
2013,8,128398
2013,9,108011
2013,10,66252
2013,11,92334
2013,12,43225
2013,13,25406
2014,1,2482026
2014,2,348231
2014,3,441211
2014,4,222374
2014,5,198816
2014,6,448262
2014,7,40976
2014,8,129215
2014,9,109110
2014,10,66851
2014,11,93734
2014,12,43612
2014,13,25677
2015,1,2514955
2015,2,353544
2015,3,446595
2015,4,223976
2015,5,200699
2015,6,452662
2015,7,40930
2015,8,129718
2015,9,109573
2015,10,67173
2015,11,94669
2015,12,43757
2015,13,25843
2016,1,2548832
2016,2,356779
2016,3,451241
2016,4,225602
2016,5,202319
2016,6,456804
2016,7,40913
2016,8,129965
2016,9,109757
2016,10,67317
2016,11,95467
2016,12,44069
2016,13,25794
2017,1,2577645
2017,2,358334
2017,3,454337
2017,4,227223
2017,5,203363
2017,6,461706
2017,7,41017
2017,8,130634
2017,9,110088
2017,10,67486
2017,11,96603
2017,12,44483
2017,13,25740
2018,1,2604980
2018,2,360079
2018,3,456343
2018,4,227933
2018,5,204194
2018,6,465724
2018,7,40977
2018,8,130963
2018,9,110348
2018,10,67301
2018,11,97684
2018,12,44644
2018,13,25619
2019,1,2631343
2019,2,362262
2019,3,458438
2019,4,227499
2019,5,205104
2019,6,469129
2019,7,40943
2019,8,131024
2019,9,110508
2019,10,67177
2019,11,98617
2019,12,44647
2019,13,25473